profile,condition,slew_rate,mean_dt,median_dt,std_dt,p95_dt,p99_dt,gt_20m,gt_40m,gt_60m,pct_E,pct_E4,pct_B0,pct_H9plus,recovery_to_B0,recovery_to_stable,sawtooth,time_stuck_in_E,robustness
E4,HIGH_VAR,1,597.51328,327.49,921.9610974893866,2021.5,4084.32,627.9,175.08,68.4,27.622,0.6816,61.885600000000004,0.0012000000000000001,24.14,101.66,1.14,41.6,0.5715551645488396
E3,NORMAL,1,598.1663,379.73,734.261810977879,1865.22,3252.48,651.8,126.64,36.38,30.2072,0.34759999999999996,61.7112,0.0,16.12,100,0,29.28,0.6489328775704228
E4,HIGH_VAR,3,598.996172,267.92,2114.6474303249756,1862.32,4524.54,526.36,160.94,74.82,35.5824,12.316,60.312,0.24159999999999998,22.48,112.06,217.1,207.72,3.8876727829069093
E4,NORMAL,1,597.514228,379.5,726.9176497542757,1865.78,3239.58,651.6,126.48,36,30.31,0.3404,61.5764,0.0,25.56,101.36,0,30.28,0.5290079849866063
E4,NORMAL,3,597.840892,319.11,1628.2113430513073,1787.04,3655.16,556.18,126.42,51.08,34.1048,9.515600000000001,62.4836,0.1592,23.62,106.82,144.9,151.46,1.1982585208509273
E3,NORMAL,3,598.91396,319.25,1672.6023089769149,1781.84,3684.34,554.82,125.76,51.44,34.056400000000004,9.5904,62.617200000000004,0.1656,14.32,103.5,151.44,156.72,3.5022070527026243
E4,WITH_STALLS,3,598.469116,283.43,1348.610512317471,1819.12,7064.04,494.2,168.58,121.1,52.4952,14.7188,46.4492,0.0488,37.16,132.76,45.82,196.7,0.9663372953116374
E4,WITH_STALLS,1,598.586396,305.27,1066.0338927969715,1815.96,6838.74,518.78,162.34,113.46,57.1548,8.3528,41.082,0.0,41.02,131.4,0,146.38,0.8976721509526259
E2,NORMAL,1,598.69304,380.46,726.476598217994,1867.1,3245.84,654.88,125.94,35.9,29.8916,0.30319999999999997,61.9784,0.0,4.88,101.36,0,25.58,0.5247358363588172
E3,HIGH_VAR,1,598.14204,328.0,937.289741581821,2018.88,4065.92,629.82,174.5,68.14,27.5772,0.748,61.7932,0.0012000000000000001,15.86,103.28,1.14,45.46,0.5893226412672526
E3,HIGH_VAR,3,599.55118,270.57,2043.3504754610587,1878.48,4529.02,532.44,161.74,74.84,34.888,11.6452,60.9432,0.24359999999999998,14.14,117.48,219.84,196.28,4.249294522623719
E2,NORMAL,3,598.934144,320.15,1656.4474279503718,1786.9,3656.66,559.94,126.26,51.44,33.752,9.548,62.8264,0.172,2.22,106.66,155.36,161.06,0.5658813318160945
E3,WITH_STALLS,3,599.090076,283.47,1369.8581082670848,1820.88,7065.44,495.32,168.48,120.72,52.338,14.8024,46.5896,0.046400000000000004,20.12,132,42.88,200.06,0.9605231830239798
E3,WITH_STALLS,1,599.179344,305.63,1066.7915096977379,1817.44,6845.58,519.48,162.42,113.5,56.9956,8.278,41.2264,0.0,27.3,131.06,0,145.52,0.895107323210629
E2,HIGH_VAR,1,598.68162,328.23,929.5591639294233,2018.02,4081.46,629.64,174.02,68.2,27.374,0.6744,62.0924,0.0012000000000000001,4.76,103.34,1.14,42.14,0.5591252238259048
E2,HIGH_VAR,3,599.792332,271.25,1972.9661885761057,1881.48,4580.4,534.08,162,74.68,34.3568,11.3096,61.4584,0.24839999999999998,2.28,123.38,221.56,189.26,3.576455968193167
E1,NORMAL,1,599.383968,380.89,729.7144108741262,1868.5,3255.86,654.92,126.88,36.44,29.774,0.314,62.068,0.0,2.56,104.44,0,25.24,0.6467673213256026
E1,NORMAL,3,599.919452,321.33,1651.523725480394,1793.12,3710.96,562.38,126.56,52.2,33.33,9.3324,63.2016,0.1684,2.2,111.62,152.32,155.72,2.049919037449518
E1,HIGH_VAR,1,599.316168,328.3,935.2292720034319,2020.06,4075.1,631.04,174.78,68.52,27.3184,0.7152,62.0964,0.0008,2.76,109.66,0.76,42.5,0.5734371817418908
E2,WITH_STALLS,1,599.7829839999999,306.31,1066.8234807018325,1821.06,6836.9,521.06,162.6,113.5,56.7608,8.232,41.468,0.0,7.74,131.06,0,145.44,0.9015818976144702
E2,WITH_STALLS,3,599.708156,284.14,1347.2591873004758,1820.64,7064.6,495.88,169.22,120.82,52.104,14.66,46.826,0.048,3.54,133.6,44.4,197.5,0.9894593232216325
E1,HIGH_VAR,3,600.1671,269.64,2090.2634172910057,1879.5,4555.98,530.42,162.52,75.88,34.7356,11.8552,61.1508,0.25279999999999997,2.2,118.5,225.74,204.76,2.8853042314742647
E1,WITH_STALLS,1,600.381612,306.82,1066.7749947341872,1823.84,6840.3,521.9,163.18,113.62,56.623599999999996,8.1692,41.5936,0.0,4.14,132.5,0,143.76,0.895393908901526
E1,WITH_STALLS,3,600.326588,285.16,1323.49404290281,1828.52,7060.14,499.04,169.58,121.06,51.7772,14.2056,47.168,0.0472,2.74,138.16,44.02,181.86,0.9859500922170783
B0,HIGH_VAR,1,600.515588,328.84,937.9630449472214,2029.38,4122.84,633.34,176.7,69.46,27.1768,0.6808,62.0288,0.0012000000000000001,1,113.04,1.14,42.08,0.5450858706512892
B0,NORMAL,1,600.576576,381.48,734.7203937738548,1873.06,3266.24,657.54,127.88,36.98,29.6732,0.3316,62.0208,0.0,1,104.1,0,25.6,0.653149152125649
B0,HIGH_VAR,3,601.412576,267.03,2273.7158296975244,1866.66,4549.74,524.96,160.9,75.4,35.8652,12.9704,59.9608,0.25079999999999997,1,124.1,223.76,245.7,2.479036686061917
B0,NORMAL,3,601.026824,319.23,1702.808537389524,1791.4,3720.68,559.28,126.62,52.9,33.8,9.8936,62.7108,0.1688,1,116.64,152.72,166.74,1.607521300783749
B0,WITH_STALLS,1,601.582184,307.38,1067.5223183528485,1827.48,6845.84,523.88,163.52,114.12,56.3964,8.132,41.69,0.0,1,133.06,0,143.46,0.8999416541994563
H1,NORMAL,1,601.17266,381.65,734.3127479899487,1874.58,3284.2,656.88,128.78,37.62,29.6936,0.31479999999999997,61.9252,0.0,5.14,102.78,0,24.82,0.634127609960556
B0,WITH_STALLS,3,601.558676,284.49,1368.4677324014162,1828.1,7082.68,498,169.94,121.36,52.0168,14.62,46.8792,0.0492,1,137.6,45.34,192.46,1.1829703402633776
H1,NORMAL,3,601.313868,319.0,1674.3841418800127,1788.62,3726.8,557.8,126.72,52.66,34.046,9.918,62.4,0.1736,2.88,114.28,156.54,157.16,0.5571906962758134
H1,HIGH_VAR,1,601.077116,329.26,929.8338063428928,2030.66,4104.76,634.74,176.86,69.48,27.130399999999998,0.6592,61.9432,0.0016,5.84,118.1,1.52,40.82,0.5737077960503775
H1,HIGH_VAR,3,602.248584,266.5,2207.7455332334484,1866.66,4536.36,526.78,161.62,74.5,35.9616,12.9628,59.8224,0.25,5.52,121.24,219.54,220.66,2.997765958336854
H3,NORMAL,1,602.33882,381.92,739.3735185633694,1879.94,3301.38,658.46,129.8,37.78,29.5812,0.316,61.9364,0.0,12.54,108.24,0,26.24,0.6260197222556695
H1,WITH_STALLS,1,602.178248,307.46,1069.4440258782543,1832.24,6847.54,524.4,164.24,114.42,56.3724,8.1376,41.6572,0.0,5.1,133.86,0,144.82,0.8997098657605908
H3,HIGH_VAR,1,602.343844,329.26,937.9849559847921,2031.18,4131.24,633.32,178.44,70,27.1672,0.6768,61.9124,0.0008,12.46,117.02,0.76,40.86,0.5814763606755574
H3,NORMAL,3,603.163004,321.74,1653.1359465324933,1802.42,3762.74,565.72,129.14,53.72,33.3296,9.427200000000001,62.9888,0.1668,18.38,117.82,151.9,155.7,2.3745846758624594
H1,WITH_STALLS,3,602.13978,285.05,1344.1770995601507,1830.72,7105.58,498.24,170.24,121.9,52.0024,14.4744,46.8564,0.0552,6.72,140.74,50.18,185.58,1.1907922920715972
H3,HIGH_VAR,3,603.555324,269.51,2097.596246563202,1880.52,4603.78,531.3,163.42,77.24,35.2088,12.2888,60.5056,0.2512,16.7,122.58,223.74,196.64,3.8493814542376246
H3,WITH_STALLS,1,603.382664,307.89,1072.9229547922994,1839.86,6859.52,525.76,165.12,114.64,56.2904,8.1584,41.5956,0.0,11.66,139.66,0,144.92,0.897203173077094
H6,NORMAL,1,603.564352,381.96,743.263935021918,1884.84,3313.96,659.36,131.54,38.92,29.5964,0.3188,61.8252,0.0,17.18,110.46,0,25.48,0.6522890927388869
H6,NORMAL,3,603.9786799999999,320.93,1659.619392582554,1801.34,3771.62,564.18,129.54,54.18,33.7252,9.5264,62.566,0.1748,25.82,119.68,154.82,152.12,2.047633167083104
H3,WITH_STALLS,3,603.276564,285.07,1350.5216023201463,1829.86,7117.46,498.86,170.9,122.26,51.9532,14.4544,46.8304,0.0532,15.2,152.94,47.26,186.32,0.9723209176197055
H6,HIGH_VAR,1,603.507668,329.78,945.5491875495974,2034.62,4156.66,635.7,178.54,70.96,27.0432,0.7112,61.9476,0.0012000000000000001,16.36,118.32,1.14,45.12,0.5667033599148448
H6,HIGH_VAR,3,604.907764,266.25,2220.229317870132,1871.7,4561.1,528,160.86,75.68,36.1488,13.3016,59.49,0.2628,34.26,134.72,231.7,211.86,4.137459240998332
H6,WITH_STALLS,1,604.58198,307.94,1078.1556512982322,1842.78,6873.14,527.22,165.98,115.14,56.2672,8.1736,41.5528,0.0,14.52,149.7,0,143.34,0.9015479742065446
H6,WITH_STALLS,3,604.49692,285.06,1380.518179796106,1839.38,7099.2,501,171.38,122.54,51.8676,14.6152,46.85,0.0512,28.48,142.6,45.42,196.36,0.9751482842760509
H9,NORMAL,1,604.73472,381.97,753.3438366451546,1885.04,3326.62,661.52,131.22,38.86,29.6432,0.3436,61.7708,0.0,21.2,116.52,0,25.68,0.6302949772664745
H9,NORMAL,3,605.118244,320.7,1681.4566231486053,1798.46,3805.1,562,129.08,54.62,33.7956,9.704,62.476,0.1804,21.96,123.62,162.82,153.94,1.247117720113229
H9,HIGH_VAR,1,604.69604,329.64,944.1651418646452,2041.26,4167.54,636.52,179.22,71.98,27.0384,0.6628,61.9352,0.0008,21.68,118.02,0.76,41.68,0.5497902056276349
H9,WITH_STALLS,1,605.78274,308.32,1080.5917976833587,1848.88,6875.38,529.22,166.96,115.84,56.1864,8.174,41.5596,0.0,18.68,140.92,0,146.54,0.8920011945173596
H9,HIGH_VAR,3,605.0361,272.63,1964.7870768128093,1903.18,4697.02,539.26,166.16,78.52,34.2364,11.1532,61.3708,0.2536,32.1,126.48,225,184.28,0.5779957774720349
H9,WITH_STALLS,3,605.764384,285.69,1368.5990393341733,1847.24,7115.62,502.5,172.34,123,51.806400000000004,14.4744,46.8724,0.0516,24.24,147.34,47.06,191.04,1.197231112219065
